"","date","hits","keyword","geo","time","gprop","category"
"1",2019-01-06,"23","stock","US-AL","2019-01-01 2020-04-10","web",7
"2",2019-01-13,"28","stock","US-AL","2019-01-01 2020-04-10","web",7
"3",2019-01-20,"18","stock","US-AL","2019-01-01 2020-04-10","web",7
"4",2019-01-27,"26","stock","US-AL","2019-01-01 2020-04-10","web",7
"5",2019-02-03,"25","stock","US-AL","2019-01-01 2020-04-10","web",7
"6",2019-02-10,"29","stock","US-AL","2019-01-01 2020-04-10","web",7
"7",2019-02-17,"23","stock","US-AL","2019-01-01 2020-04-10","web",7
"8",2019-02-24,"21","stock","US-AL","2019-01-01 2020-04-10","web",7
"9",2019-03-03,"28","stock","US-AL","2019-01-01 2020-04-10","web",7
"10",2019-03-10,"28","stock","US-AL","2019-01-01 2020-04-10","web",7
"11",2019-03-17,"21","stock","US-AL","2019-01-01 2020-04-10","web",7
"12",2019-03-24,"28","stock","US-AL","2019-01-01 2020-04-10","web",7
"13",2019-03-31,"26","stock","US-AL","2019-01-01 2020-04-10","web",7
"14",2019-04-07,"25","stock","US-AL","2019-01-01 2020-04-10","web",7
"15",2019-04-14,"22","stock","US-AL","2019-01-01 2020-04-10","web",7
"16",2019-04-21,"26","stock","US-AL","2019-01-01 2020-04-10","web",7
"17",2019-04-28,"26","stock","US-AL","2019-01-01 2020-04-10","web",7
"18",2019-05-05,"32","stock","US-AL","2019-01-01 2020-04-10","web",7
"19",2019-05-12,"22","stock","US-AL","2019-01-01 2020-04-10","web",7
"20",2019-05-19,"25","stock","US-AL","2019-01-01 2020-04-10","web",7
"21",2019-05-26,"18","stock","US-AL","2019-01-01 2020-04-10","web",7
"22",2019-06-02,"25","stock","US-AL","2019-01-01 2020-04-10","web",7
"23",2019-06-09,"21","stock","US-AL","2019-01-01 2020-04-10","web",7
"24",2019-06-16,"25","stock","US-AL","2019-01-01 2020-04-10","web",7
"25",2019-06-23,"27","stock","US-AL","2019-01-01 2020-04-10","web",7
"26",2019-06-30,"22","stock","US-AL","2019-01-01 2020-04-10","web",7
"27",2019-07-07,"22","stock","US-AL","2019-01-01 2020-04-10","web",7
"28",2019-07-14,"22","stock","US-AL","2019-01-01 2020-04-10","web",7
"29",2019-07-21,"24","stock","US-AL","2019-01-01 2020-04-10","web",7
"30",2019-07-28,"29","stock","US-AL","2019-01-01 2020-04-10","web",7
"31",2019-08-04,"28","stock","US-AL","2019-01-01 2020-04-10","web",7
"32",2019-08-11,"25","stock","US-AL","2019-01-01 2020-04-10","web",7
"33",2019-08-18,"23","stock","US-AL","2019-01-01 2020-04-10","web",7
"34",2019-08-25,"27","stock","US-AL","2019-01-01 2020-04-10","web",7
"35",2019-09-01,"17","stock","US-AL","2019-01-01 2020-04-10","web",7
"36",2019-09-08,"23","stock","US-AL","2019-01-01 2020-04-10","web",7
"37",2019-09-15,"21","stock","US-AL","2019-01-01 2020-04-10","web",7
"38",2019-09-22,"21","stock","US-AL","2019-01-01 2020-04-10","web",7
"39",2019-09-29,"21","stock","US-AL","2019-01-01 2020-04-10","web",7
"40",2019-10-06,"20","stock","US-AL","2019-01-01 2020-04-10","web",7
"41",2019-10-13,"21","stock","US-AL","2019-01-01 2020-04-10","web",7
"42",2019-10-20,"22","stock","US-AL","2019-01-01 2020-04-10","web",7
"43",2019-10-27,"23","stock","US-AL","2019-01-01 2020-04-10","web",7
"44",2019-11-03,"21","stock","US-AL","2019-01-01 2020-04-10","web",7
"45",2019-11-10,"25","stock","US-AL","2019-01-01 2020-04-10","web",7
"46",2019-11-17,"21","stock","US-AL","2019-01-01 2020-04-10","web",7
"47",2019-11-24,"19","stock","US-AL","2019-01-01 2020-04-10","web",7
"48",2019-12-01,"19","stock","US-AL","2019-01-01 2020-04-10","web",7
"49",2019-12-08,"20","stock","US-AL","2019-01-01 2020-04-10","web",7
"50",2019-12-15,"21","stock","US-AL","2019-01-01 2020-04-10","web",7
"51",2019-12-22,"18","stock","US-AL","2019-01-01 2020-04-10","web",7
"52",2019-12-29,"18","stock","US-AL","2019-01-01 2020-04-10","web",7
"53",2020-01-05,"24","stock","US-AL","2019-01-01 2020-04-10","web",7
"54",2020-01-12,"23","stock","US-AL","2019-01-01 2020-04-10","web",7
"55",2020-01-19,"27","stock","US-AL","2019-01-01 2020-04-10","web",7
"56",2020-01-26,"29","stock","US-AL","2019-01-01 2020-04-10","web",7
"57",2020-02-02,"32","stock","US-AL","2019-01-01 2020-04-10","web",7
"58",2020-02-09,"27","stock","US-AL","2019-01-01 2020-04-10","web",7
"59",2020-02-16,"29","stock","US-AL","2019-01-01 2020-04-10","web",7
"60",2020-02-23,"54","stock","US-AL","2019-01-01 2020-04-10","web",7
"61",2020-03-01,"39","stock","US-AL","2019-01-01 2020-04-10","web",7
"62",2020-03-08,"79","stock","US-AL","2019-01-01 2020-04-10","web",7
"63",2020-03-15,"100","stock","US-AL","2019-01-01 2020-04-10","web",7
"64",2020-03-22,"75","stock","US-AL","2019-01-01 2020-04-10","web",7
"65",2020-03-29,"56","stock","US-AL","2019-01-01 2020-04-10","web",7
"66",2020-04-05,"55","stock","US-AL","2019-01-01 2020-04-10","web",7
"67",2019-01-06,"25","stocks","US-AL","2019-01-01 2020-04-10","web",7
"68",2019-01-13,"22","stocks","US-AL","2019-01-01 2020-04-10","web",7
"69",2019-01-20,"31","stocks","US-AL","2019-01-01 2020-04-10","web",7
"70",2019-01-27,"29","stocks","US-AL","2019-01-01 2020-04-10","web",7
"71",2019-02-03,"26","stocks","US-AL","2019-01-01 2020-04-10","web",7
"72",2019-02-10,"18","stocks","US-AL","2019-01-01 2020-04-10","web",7
"73",2019-02-17,"20","stocks","US-AL","2019-01-01 2020-04-10","web",7
"74",2019-02-24,"23","stocks","US-AL","2019-01-01 2020-04-10","web",7
"75",2019-03-03,"19","stocks","US-AL","2019-01-01 2020-04-10","web",7
"76",2019-03-10,"10","stocks","US-AL","2019-01-01 2020-04-10","web",7
"77",2019-03-17,"26","stocks","US-AL","2019-01-01 2020-04-10","web",7
"78",2019-03-24,"12","stocks","US-AL","2019-01-01 2020-04-10","web",7
"79",2019-03-31,"28","stocks","US-AL","2019-01-01 2020-04-10","web",7
"80",2019-04-07,"12","stocks","US-AL","2019-01-01 2020-04-10","web",7
"81",2019-04-14,"24","stocks","US-AL","2019-01-01 2020-04-10","web",7
"82",2019-04-21,"10","stocks","US-AL","2019-01-01 2020-04-10","web",7
"83",2019-04-28,"26","stocks","US-AL","2019-01-01 2020-04-10","web",7
"84",2019-05-05,"17","stocks","US-AL","2019-01-01 2020-04-10","web",7
"85",2019-05-12,"15","stocks","US-AL","2019-01-01 2020-04-10","web",7
"86",2019-05-19,"20","stocks","US-AL","2019-01-01 2020-04-10","web",7
"87",2019-05-26,"15","stocks","US-AL","2019-01-01 2020-04-10","web",7
"88",2019-06-02,"21","stocks","US-AL","2019-01-01 2020-04-10","web",7
"89",2019-06-09,"19","stocks","US-AL","2019-01-01 2020-04-10","web",7
"90",2019-06-16,"22","stocks","US-AL","2019-01-01 2020-04-10","web",7
"91",2019-06-23,"17","stocks","US-AL","2019-01-01 2020-04-10","web",7
"92",2019-06-30,"10","stocks","US-AL","2019-01-01 2020-04-10","web",7
"93",2019-07-07,"32","stocks","US-AL","2019-01-01 2020-04-10","web",7
"94",2019-07-14,"17","stocks","US-AL","2019-01-01 2020-04-10","web",7
"95",2019-07-21,"10","stocks","US-AL","2019-01-01 2020-04-10","web",7
"96",2019-07-28,"19","stocks","US-AL","2019-01-01 2020-04-10","web",7
"97",2019-08-04,"26","stocks","US-AL","2019-01-01 2020-04-10","web",7
"98",2019-08-11,"28","stocks","US-AL","2019-01-01 2020-04-10","web",7
"99",2019-08-18,"18","stocks","US-AL","2019-01-01 2020-04-10","web",7
"100",2019-08-25,"13","stocks","US-AL","2019-01-01 2020-04-10","web",7
"101",2019-09-01,"4","stocks","US-AL","2019-01-01 2020-04-10","web",7
"102",2019-09-08,"17","stocks","US-AL","2019-01-01 2020-04-10","web",7
"103",2019-09-15,"21","stocks","US-AL","2019-01-01 2020-04-10","web",7
"104",2019-09-22,"19","stocks","US-AL","2019-01-01 2020-04-10","web",7
"105",2019-09-29,"21","stocks","US-AL","2019-01-01 2020-04-10","web",7
"106",2019-10-06,"9","stocks","US-AL","2019-01-01 2020-04-10","web",7
"107",2019-10-13,"32","stocks","US-AL","2019-01-01 2020-04-10","web",7
"108",2019-10-20,"16","stocks","US-AL","2019-01-01 2020-04-10","web",7
"109",2019-10-27,"28","stocks","US-AL","2019-01-01 2020-04-10","web",7
"110",2019-11-03,"27","stocks","US-AL","2019-01-01 2020-04-10","web",7
"111",2019-11-10,"15","stocks","US-AL","2019-01-01 2020-04-10","web",7
"112",2019-11-17,"19","stocks","US-AL","2019-01-01 2020-04-10","web",7
"113",2019-11-24,"13","stocks","US-AL","2019-01-01 2020-04-10","web",7
"114",2019-12-01,"16","stocks","US-AL","2019-01-01 2020-04-10","web",7
"115",2019-12-08,"27","stocks","US-AL","2019-01-01 2020-04-10","web",7
"116",2019-12-15,"24","stocks","US-AL","2019-01-01 2020-04-10","web",7
"117",2019-12-22,"30","stocks","US-AL","2019-01-01 2020-04-10","web",7
"118",2019-12-29,"30","stocks","US-AL","2019-01-01 2020-04-10","web",7
"119",2020-01-05,"39","stocks","US-AL","2019-01-01 2020-04-10","web",7
"120",2020-01-12,"19","stocks","US-AL","2019-01-01 2020-04-10","web",7
"121",2020-01-19,"31","stocks","US-AL","2019-01-01 2020-04-10","web",7
"122",2020-01-26,"28","stocks","US-AL","2019-01-01 2020-04-10","web",7
"123",2020-02-02,"29","stocks","US-AL","2019-01-01 2020-04-10","web",7
"124",2020-02-09,"26","stocks","US-AL","2019-01-01 2020-04-10","web",7
"125",2020-02-16,"25","stocks","US-AL","2019-01-01 2020-04-10","web",7
"126",2020-02-23,"27","stocks","US-AL","2019-01-01 2020-04-10","web",7
"127",2020-03-01,"51","stocks","US-AL","2019-01-01 2020-04-10","web",7
"128",2020-03-08,"93","stocks","US-AL","2019-01-01 2020-04-10","web",7
"129",2020-03-15,"95","stocks","US-AL","2019-01-01 2020-04-10","web",7
"130",2020-03-22,"100","stocks","US-AL","2019-01-01 2020-04-10","web",7
"131",2020-03-29,"63","stocks","US-AL","2019-01-01 2020-04-10","web",7
"132",2020-04-05,"69","stocks","US-AL","2019-01-01 2020-04-10","web",7
"133",2019-01-06,"17","stock market","US-AL","2019-01-01 2020-04-10","web",7
"134",2019-01-13,"17","stock market","US-AL","2019-01-01 2020-04-10","web",7
"135",2019-01-20,"21","stock market","US-AL","2019-01-01 2020-04-10","web",7
"136",2019-01-27,"6","stock market","US-AL","2019-01-01 2020-04-10","web",7
"137",2019-02-03,"19","stock market","US-AL","2019-01-01 2020-04-10","web",7
"138",2019-02-10,"10","stock market","US-AL","2019-01-01 2020-04-10","web",7
"139",2019-02-17,"11","stock market","US-AL","2019-01-01 2020-04-10","web",7
"140",2019-02-24,"13","stock market","US-AL","2019-01-01 2020-04-10","web",7
"141",2019-03-03,"7","stock market","US-AL","2019-01-01 2020-04-10","web",7
"142",2019-03-10,"13","stock market","US-AL","2019-01-01 2020-04-10","web",7
"143",2019-03-17,"15","stock market","US-AL","2019-01-01 2020-04-10","web",7
"144",2019-03-24,"16","stock market","US-AL","2019-01-01 2020-04-10","web",7
"145",2019-03-31,"15","stock market","US-AL","2019-01-01 2020-04-10","web",7
"146",2019-04-07,"10","stock market","US-AL","2019-01-01 2020-04-10","web",7
