State,Lockdown announced,Lockdown effective,1st city/county lockdown effective
Alabama,03/04/2020,04/04/2020,23/03/2020
Alaska,27/03/2020,28/03/2020,23/03/2020
Arizona,30/03/2020,31/03/2020,30/03/2020
California,19/03/2020,19/03/2020,16/03/2020
Colorado,25/03/2020,26/03/2020,18/03/2020
Connecticut,20/03/2020,23/03/2020,20/03/2020
Delaware,22/03/2020,24/03/2020,22/03/2020
District of Columbia,30/03/2020,01/04/2020,30/03/2020
Florida,01/04/2020,03/04/2020,23/03/2020
Georgia,01/04/2020,03/04/2020,19/03/2020
Hawaii,23/03/2020,25/03/2020,22/03/2020
Idaho,25/03/2020,25/03/2020,17/03/2020
Illinois,20/03/2020,21/03/2020,20/03/2020
Indiana,23/03/2020,24/03/2020,23/03/2020
Kansas,28/03/2020,30/03/2020,22/03/2020
Kentucky,23/03/2020,26/03/2020,23/03/2020
Louisiana,22/03/2020,23/03/2020,20/03/2020
Maine,31/03/2020,02/04/2020,23/03/2020
Maryland,30/03/2020,30/03/2020,30/03/2020
Massachusetts,23/03/2020,24/03/2020,23/03/2020
Michigan,23/03/2020,24/03/2020,23/03/2020
Minnesota,26/03/2020,27/03/2020,26/03/2020
Mississippi,01/04/2020,03/04/2020,21/03/2020
Missouri,03/04/2020,06/04/2020,22/03/2020
Montana,26/03/2020,28/03/2020,26/03/2020
Nevada,01/04/2020,01/04/2020,01/04/2020
New Hampshire,26/03/2020,27/03/2020,26/03/2020
New Jersey,21/03/2020,21/03/2020,21/03/2020
New Mexico,23/03/2020,23/03/2020,23/03/2020
New York,20/03/2020,22/03/2020,17/03/2020
North Carolina,27/03/2020,30/03/2020,24/03/2020
Ohio,22/03/2020,23/03/2020,22/03/2020
Oregon,23/03/2020,23/03/2020,22/03/2020
Pennsylvania,23/03/2020,01/04/2020,23/03/2020
Rhode Island,28/03/2020,28/03/2020,28/03/2020
South Carolina,06/04/2020,07/04/2020,25/03/2020
Tennessee,30/03/2020,31/03/2020,23/03/2020
Texas,31/03/2020,03/04/2020,22/03/2020
Vermont,24/03/2020,25/03/2020,24/03/2020
Virginia,30/03/2020,30/03/2020,30/03/2020
Washington,23/03/2020,23/03/2020,23/03/2020
West Virginia,23/03/2020,24/03/2020,23/03/2020
Wisconsin,24/03/2020,25/03/2020,23/03/2020
